Code,Branch / Collection Label,Research/Branch,Actual Location
blj0v,Bloomingdale Children's Non-Print Media,,
blj0y,Bloomingdale Children's Young Reader,,
bljr,Bloomingdale Children's Reference,,
bly,Bloomingdale Young Adult,,
bly01,Bloomingdale YA Reference,,
bly0f,Bloomingdale YA Fiction,,
bly0l,Bloomingdale YA World Languages,,
bly0n,Bloomingdale YA Non-Fiction,,
bly0v,Bloomingdale YA Non-Print Media,,
blyr,Bloomingdale Young Adult Reference,,
blzzz,Bloomingdale (error code),,
br,George Bruce,,
bra,George Bruce Adult,,
bra01,George Bruce Reference,,
bra03,George Bruce Closed Shelf Reference,,
bra0f,George Bruce Fiction,,
bra0l,George Bruce World Languages,,
bra0n,George Bruce Non-Fiction,,
bra0v,George Bruce Non-Print Media,,
brar,George Bruce Adult Reference,,
brj,George Bruce Children,,
brj01,George Bruce Children's Reference,,
brj0a,George Bruce Children's Easy Book,,
brj0f,George Bruce Children's Fiction,,
brj0h,George Bruce Children's Holiday Book,,
brj0i,George Bruce Children's Picture Book,,
brj0l,George Bruce Children's World Languages,,
brj0n,George Bruce Children's Non-Fiction,,
brj0t,George Bruce Children's Fairy Tale,,
brj0v,George Bruce Children's Non-Print Media,,
brj0y,George Bruce Children's Young Reader,,
brjr,George Bruce Children's Reference,,
bry,George Bruce Young Adult,,
bry01,George Bruce YA Reference,,
bry0f,George Bruce YA Fiction,,
bry0l,George Bruce YA World Languages,,
bry0n,George Bruce YA Non-Fiction,,
bry0v,George Bruce YA Non-Print Media,,
bryr,George Bruce Young Adult Reference,,
brzzz,George Bruce (error code),,
bt,Battery Park City,,
bta,Battery Park Adult ,,
bta01,Battery Park Reference,,
bta03,Battery Park Closed Shelf Reference,,
bta0f,Battery Park Fiction,,
bta0l,Battery Park World Languages,,
bta0n,Battery Park Non-Fiction,,
bta0v,Battery Park Non-Print Media,,
btar,Battery Park Adult Reference,,
btj,Battery Park Children,,
btj01,Battery Park Children's Reference,,
btj0a,Battery Park Children's Easy Book,,
btj0f,Battery Park Children's Fiction,,
btj0h,Battery Park Children's Holiday Book,,
btj0i,Battery Park Children's Picture Book,,
btj0l,Battery Park Children's World Languages,,
btj0n,Battery Park Children's Non-Fiction,,
btj0t,Battery Park Children's Fairy Tale,,
btj0v,Battery Park Children's Non-Print Media,,
btj0y,Battery Park Children's Young Reader,,
btjr,Battery Park Children's Reference,,
bty,Battery Park Young Adult,,
bty01,Battery Park YA Reference,,
bty0f,Battery Park YA Fiction,,
bty0l,Battery Park YA World Languages,,
bty0n,Battery Park YA Non-Fiction,,
bty0v,Battery Park YA Non-Print Media,,
btyr,Battery Park Young Adult Reference,,
btzzz,Battery Park (error code),,
ca,Terence Cardinal Cooke-Cathedral,,
caa,Terence Cardinal Cooke-Cathedral Adult,,
caa01,Terence Cardinal Cooke-Cathedral Reference,,
caa03,Terence Cardinal Cooke-Cathedral Closed Shelf Reference,,
caa0f,Terence Cardinal Cooke-Cathedral Fiction,,
caa0l,Terence Cardinal Cooke-Cathedral World Languages,,
caa0n,Terence Cardinal Cooke-Cathedral Non-Fiction,,
caa0v,Terence Cardinal Cooke-Cathedral Non-Print Media,,
